Title,Location,Company,Salary,Date,Description
software developer,"Windsor, ON",Border Connect Inc.,"$62,400 - $95,000 a year",30+ days ago,"Bachelor's degree5 years or moreComputer ScienceComputer Software EngineeringSpecific SkillsWrite, modify, integrate and test software codeIdentify and communicate technical problems, processes and solutionsResearch and evaluate a variety of software productsMaintain existing computer programs by making modifications as requiredWrite, modify, integrate and test software code for e-commerce and other Internet applicationsProgramming LanguagesJavaJavaScriptCSSSQLReact NativeReact.jsGitModel-View-Controller (MVC)"
Software Developer,"Windsor, ON",Rock FOC Technology,NaN,30+ days ago,"Preferred QualificationsObject-oriented programming experience, including .NET Framework 4.0/.NET Core and C#Experience building ASP.NET web applicationsExperience building web APIsExperience with RESTful web servicesExperience with JavaScript and affiliated libraries (Node.js, Angular, React/Redux, Yue)Experience with Cloud (AWS, Google, Azure)Experience with RDBMS like SQL Server, Oracle and MySQLStrong experience in all aspects of the software life cycle, including design and testingAbility to understand and start projects quicklyTeam-oriented experience highly desiredSuperb attention to detailBachelor’s degree or significant relevant experienceJob SummaryWe are looking for a passionate and driven Software Developer to join our growing Technology team. This team member develops, improves and maintains innovative software applications. These responsibilities require the Software Developer to perform code reviews, assist with delivery estimates, provide feedback about all aspects of the process and assist in application design.ResponsibilitiesCollaborate with other developers, architects, quality assurance analysts, system engineers and product managers in solving new and existing technical issuesUnderstand requirements, implement designs, provide administration tools and create documentation for specific projectsDevelop in C# and/or JavaScript environments, developing web applications and web servicesParticipate in team stand-up meetings, where you’ll give and receive updates on the current backlog and challengesParticipate in code reviewsFollow and enhance existing development processesMaintain ownership of the projects assignedConsistently meet project deadlinesDisclaimerThis is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.The Company has policies to support applicants with disabilities, including, but not limited to, policies regarding the provision of accommodations that take into account an applicant‘s accessibility needs due to disability. For more information, please call us at (800) 411-Jobs or email us at Jobs@MyRocketCareer.com."
Software Developer I,"Mississauga, ON",BlackBerry,NaN,3 days ago,"Worker Sub-Type:RegularJob Description:POSITION SUMMARYBlackBerry Advanced Technology Development Labs operates at the forefront of research and development within the cybersecurity space. The rise of the Internet of Things (IoT), alongside a dynamic threat landscape fosters a climate where organizations need to guard against new threats and breaches at all times. With a strong focus on data science and machine leaning, BlackBerry Advanced Technology Development Labs investigates, incubates, and facilitates technologies specifically designed to further the company’s commitment to safety, security and data privacy for our customers. Through strong partnerships with BlackBerry’s existing Cylance, Enterprise, and QNX teams, we identify, explore and build new concepts that help fill the innovation funnel for BlackBerry.We are looking for a candidate to join our team of software developers. The successful candidate will participate in the identification, exploration and creation of new technologies to ensure BlackBerry remains on the cutting edge of security innovation.Location:Mississauga, ONRESPONSIBILITIESThe successful candidate will:Actively participate in all aspects of the development processDesign, implement, test, profile and maintain BlackBerry security solutionsConsult with immediate team members and cross-functional teams on software architecturePossess strong skills in innovative thinking, where initiative and communication will be required and used regularlyPERKSSupportive mentoring where you will be assigned to projects tailored to your strengths and goalsParticipation in innovationFun, cohesive, team-oriented work environmentSKILLS AND QUALIFICATIONSStrong programming, development skills and experience in one or more of: C, C++, Java, Objective C, C#, SwiftStrong verbal and written communication skillsHighly organized and detail orientedCurious attitude and self-starter with strong interpersonal skillsAbility to work effectively in a team as well as independentlyAbility to thrive in a fast-paced, multi-tasking environment with excellent time management skillsOur focus is producing proof of concepts – you must enjoy the idea of new a novel work around cornerPost-secondary education in engineering, computer science or related field of study3+ years of experienceADDITIONAL ASSETSExperience with mobile development (iOS/Android)Experience with QNX OS, Android OS, Linux, iOS, OSX and GitLab/GitInterested in machine learning or applying machine learning to problems in security and IoTInterested in cyber security and have relevant knowledge as an asset.Job Family Group Name:Product DevelopmentScheduled Weekly Hours:40"
Junior Developer,"Toronto, ON",Intertek,NaN,4 days ago,"Junior Developer - (200000AY)DescriptionWho we are and what we do?Intertek Alchemy provides a complete training, reinforcement, and compliance solution that assures manufacturing workforces have the right knowledge and confidence to perform their job correctly and efficiently. Alchemy partners with companies of all sizes to consistently engage their workforces, effectively building a strong culture of safety and quality. More than 3,000,000 workers at over 50,000 locations use Alchemy’s integrated programs to reduce workplace injuries and drive operational efficiencies.What are we looking for?We are currently seeking a Junior Developer with CMS experience. This individual should have an innovative mindset, excellent communication skills and the ability to navigate internal structure quickly.The Junior Developer is responsible for developing training content for our proprietary Learning System. In this role, the Junior Developer will create and implement best practices to enhance and maintain the quality of our content.What you'll do:40% will include content development/management30% will be working with HTML – XML.10% will involve entry-level knowledge of SQL scripts10% will be looking for variance and quality controlling videos, content, edits, communications that are going into the application.10% will be creating gamification on how to build and complete activities in the applicationCreate and maintain internal process documents, and focuses on process improvements, where possibleSupport on deployment and maintenance issues, as requiredQualificationsWhat you bring to the table:Bachelor’s degree in Software Engineering or equivalent technical experience.Minimum 3 years of experience in web design, development, maintenance and administration.Experience in working in agile teams.Comprehensive knowledge of CMS and best practicesStrong analytical and problem-solving skills; ability to analyze business processes and a pragmatic approach to making recommendations for improvement leveraging available technologyDemonstrated expertise in Content Management Systems, HTML, CSS, JavaScript and XMLStrong knowledge of operating systems: Windows and Mac-basedAbility to work independently and proactively seek out a network of key individuals across functional areas, in order to gain support and move forward with initiativesFamiliarity with SQLUI/UX experience a plus but not required.Primary Location: CA-ON-TorontoJob: Information TechnologyOrganization: CAN16:Frameworks Inc.Schedule: RegularFull-timeFirst ShiftJob Posting: Feb 11, 2020, 3:12:17 PM"
Web developer (PHP Programmer),"Windsor, ON",Azterik Media,NaN,30+ days ago,"Permanent, Full Time, DayStart Date: As soon as possibleLocation: Windsor, Ontario (1 vacancy)Skill RequirementsEducation: Some college/CEGEP/vocational or technical training, Completion of college/CEGEP/vocational or technical training, Some universityExperience: 2 years to less than 3 yearsSpecific Skills: Consult with clients to develop and document web site requirements, Develop web site architecture and determine hardware and software requirements, Create and optimize content for web site using a variety of graphics, database, animation and other software, Lead and co-ordinate multidisciplinary teams to develop web site graphics, content, capacity and interactivityProgramming Languages: HTML, XML, Java Script, Object-Oriented programming languages, PHPComputer and Technology Knowledge: Windows, Linux, Programming software, Database software, Programming languages, Software developmentWork Conditions and Physical Capabilities: Fast-paced environment, Tight deadlines, Attention to detail, SittingEssential Skills: Reading text, Oral communication, Working with others, Problem solving, Decision making, Critical thinking, Job task planning and organizing, Significant use of memory, Finding information, Computer use, Continuous learningOther Information: Preference will be given to those candidates with prior knowledge of Apache Administration, MySql Administration, building ecommerce applications and experience with data caching utilities.To apply please send an email to: careers@azterik.com.Please put the name of the position you are applying for in the Subject line of the email and attach your resume in PDF or DOC formats."
Web developer,"Toronto, ON",Little Rocket,"$50,000 - $60,000 a year",22 days ago,"No degree, certificate or diploma2 years to less than 3 yearsOwn Tools/EquipmentComputerCellular phoneWork Conditions and Physical CapabilitiesFast-paced environmentWork under pressure"
Website Designer / Developer,"Toronto, ON",Vonality Global Solutions,NaN,11 days ago,"Role: Website Designer / DeveloperLocation: The Esplanade (Toronto)Job and Skill SummaryThe candidate will be responsible for the layout, visual appearance and usability of websites under Vonality control. The candidate will also be responsible for interior page layouts, content formatting, CSS creation, HTML files converted from Photoshop documents, design custom graphics, and QA. Banner creation with and without Flash, knowledge of Wordpress, and a basic understanding of SEO and SEM are important. Knowledge of PHP, Javascript, ASP, MYSQL would be an asset, but is not absolutely required. The successful candidate must be able to work quickly, and create sites that fit with Vonality`s social media marketing and e-commerce capability. The work will be conducted in a team setting.Tasks, Responsibilities and AuthoritiesSpend half your time on Web DesignSpend half your time on Web DevelopmentLead the development process from design through to completionWork hands-on in the development of web applications (ActionScript / Flash / XML / CSS / XHTML)Provide technical input and guidance during planning and developmentDesign websites ensuring effectiveness, ease of access and useWork closely with the client or the Vonality client representative at the design stage to ask and answer questions in regards to website objectives, target audience, leading competitors, etc.Advise the client or client representative on categories and information necessary to construct and update the under development websiteDesign a draft site for client approval"
Junior Web Developer,"Toronto, ON",Trellis,NaN,30+ days ago,"Provide programming supports to lead developer on an Seed to Sale Cannabis Enterprise Software project. Develop documentation and assistance tools to support users and developers.Requirements:Background in PHP and MySQLProficient understanding of code versioning tool, GitSymfony, API knowledge and OAuth Server is preferredStrong organization and time management skillsExperience in agile development strategy is preferredFull stack development experience is preferred"
Junior Developer Co-op posting,"Hamilton, ON",Ackroo,NaN,30+ days ago,"We seek a Junior Full Stack Developer for a 4/8/12 month Co-op position at one of Canada’s most exciting and innovative companies. Ackroo is building the next generation of gift card and loyalty rewards payment products. You will be challenged across a wide variety of technologies. You will join a dynamic, fast-paced and highly skilled team working to develop new features to drive sales and support our growing customer base. You should have a passion for software development and a desire to pursue excellence. We are based in Hamilton, we have a cool modern office, a really nice kitchen with snacks, and we work on macbooks!Responsibilities :Be a key member of our growing development team and expect to learn a lotChallenge and improve our product and processes via Design and Development tasksDevelop new features in one or more of our productsPreferred:Knowledge of Ruby on Rails or other scripting style languages (PHP, Python, Node.js)Knowledge of web development technologies (HTML5/Javascript/CSS/jQuery …)Knowledge of Object Oriented Programming and Design conceptsKnowledge of SQLPositive attitude with a desire to work in a fast paced environmentStrong ability to work in a team and ability to learn quicklyMust have strong written/verbal communication skillsExtra points if you have:Experience with .NET Development FrameworkKnowledge of RESTful Web Services interfacesExperience developing on Windows/LinuxExperience with Agile development processMySQL experienceKnowledge of NoSQL databases like MongoDB, BigQueryPayments Knowledge – POS terminals, POS systems, credit/debit/gift/loyalty transactions processingCloud Infrastructure and Continuous Integration tools (e.g Google Cloud, Gitlab, Docker, Kubernetes)Projects on Github to showcase"
Android Developer,"Tecumseh, ON",TapLane,NaN,30+ days ago,"We are looking for highly motivated individuals with pleasant personalities and good organizational skills to work on exciting apps and games.ResponsibilitiesCreate and maintain mobile applicationsBe involved in all stages of application development, from UI design to final testingUnderstand system architecture with an eye to scalability and efficiencyRequirementsUniversity Degree in Computer Science or Engineering preferredConfident, highly motivated, proactive, and efficient, organized, and detail orientedAbility to maintain a flexible working approach while achieving deadlinesPassion for technology and isn’t afraid to “do the hard stuff.”Technical RequirementsAt least two years of experience in developing mobile applications for the Android platform (Java)Experience writing multithreaded codeExperience with RESTfull services (JSON)Experience with published apps in Google Play StoreUI Design skillsSolid knowledge of/experience with the Android application lifecycleKnowledge of web technologies: PHP, MySQL, HTML and Javascript a plusWe are hiring and we’re looking forward to meeting you!To apply please send your resume and portfolio to careers@taplane.com or using the form below."
Web Developer,"Mississauga, ON",PointClickCare,NaN,1 day ago,"PointClickCare is the leading cloud-based software provider for the senior care market in North America. Driven by a passion for innovation and technology, we build innovative healthcare technology for seniors and their caregivers that improve their quality of life and well-being on a daily basis. Recently named one of Deloitte’s fastest growing technology companies and Canada’s best managed companies, PointClickCare provides vast opportunities and a great culture for our employees. We believe work is much more meaningful when you're doing it with a higher purpose. For more information on PointClickCare, please connect with us on Glassdoor and LinkedIn.Position Summary:Reporting to the Lead Web Developer on the Marketing Communications, the Web Developer is responsible for website development including WordPress theme/template customization, website creation/redesigns building components, creating conversion centric landing pages and other UI & performance optimizations. As a web developer you’ll have a big impact on all of our online lead generating web assets from UI/UX Development and Design perspective.Key Responsibilities:WordPress front-end and backend development including theme/template customization, developing new sites, sections, and components using PHP, HTML, CSS and JavaScriptDevelop mobile responsive landing pages and sites with an eye for conversion centric design.Participate in daily stand ups and take on development tasks from the weekly backlogDelivering finished code that is clean, well-organized, and well documentedParticipate in strategy workshops to develop business, design, and technical plansEnsuring all work adheres to current industry best practice.Self-motivated, goal-oriented and able to work in a team environment.Committed, enthusiastic, sincere, trustworthy and conscientious.Creating a positive and interactive user experience on our corporate websites.Required Experience:Proven experience building customer facing websites that works across wide variety of devices and browsersStrong skills with WordPress, PHP, HTML5, CSS3, JavaScript, JQuery, and integrating REST APIsExperience with design tools like Adobe XD, Sketch, InVision, Photoshop and converting design mockups to code.Experience with build tools such as SASS, GULP, NPM, and GIT.Some experience with modern JavaScript frameworks like Vue and ReactExcellent communication, organization and presentation skillsExperience working in a fast pace agile environmentStrong understanding of interaction design principles, SEO, and accessibility standardsUX Design experience creating high fidelity wireframes and mockup is an assetThis is a 3 month initial contract with the possibility of extensionIt is the policy of PointClickCare to ensure equal employment opportunity without discrimination or harassment on the basis of race, religion, national origin, status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law. PointClickCare welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.When you apply for a position, your information is processed and stored with Lever, in accordance with Lever’s Privacy Policy. We use this information to evaluate your candidacy for the posted position. We also store this information, and may use it in relation to future positions to which you apply, or which we believe may be relevant to you given your background. When we have no ongoing legitimate business need to process your information, we will either delete or anonymize it. If you have any questions about how PointClickCare uses or processes your information, or if you would like to ask to access, correct, or delete your information, please contact PointClickCare’s human resources team here recruitment@pointclickcare.com"
